CARD_NUMBER,Date Diff,Time, Amount ,"ATM=1, POS=0",ADDRESS_NAME
1001,1,8,10000,1,240
1001,0,17,10000,1,404
1002,0,19,1600,1,4
1002,0,15,5455,0,394
1002,4,14,5455,0,395
1002,0,14,10200,0,396
1002,0,10,2750,0,397
1002,0,10,1500,0,193
1002,0,19,615,0,6
1002,0,22,1500,1,299
1002,15,15,1733,1,299
1002,0,18,684,0,397
1002,1,22,1939,0,398
1002,0,11,10200,0,399
1002,1,11,1480,0,399
1002,1,15,110000,0,400
1002,0,14,5200,0,401
1002,1,13,10306,0,402
1002,0,18,5886,0,403
1003,0,13,4066,0,393
1004,22,6,10000,1,381
1004,0,17,10000,1,392
1005,1,10,10000,1,18
1005,1,18,10000,1,18
1005,1,10,10000,1,18
1005,0,18,10000,1,391
1006,5,11,10000,1,389
1006,1,17,10000,1,390
1006,1,14,10000,1,390
1006,1,13,10000,1,389
1006,0,14,10000,1,389
1007,1,10,1574,0,386
1007,1,18,2027,0,387
1007,0,11,300,0,388
1007,0,18,225,0,387
1008,1,10,10000,1,238
1008,1,15,10000,1,238
1008,0,11,10000,1,385
1009,0,13,4902,0,384
1010,0,19,10000,1,383
1011,0,12,5876,0,9
1011,0,12,10000,1,377
1011,0,14,2521,0,36
1012,1,19,10000,1,11
1012,0,19,10000,1,147
1013,0,13,2201,0,157
1013,0,13,3170,0,382
1013,0,15,11844,0,158
1014,1,7,10000,1,380
1014,1,7,10000,1,381
1014,0,8,10000,1,380
1015,0,12,10000,1,51
1016,3,19,10000,1,378
1016,0,18,10000,1,379
1017,0,19,700,0,156
1017,20,16,10000,0,376
1017,0,18,1021,1,20
1017,0,20,2018,1,377
1017,2,16,5169,0,9
1017,0,16,2500,0,9
1018,1,7,10200,1,63
1018,0,12,10000,1,4
1019,1,9,10000,1,28
1019,0,15,10000,1,28
1020,2,15,10000,1,120
1020,2,14,10000,1,120
1020,0,18,10000,1,120
1021,0,17,8000,1,18
